region,zone,woreda,ADM3_PCODE
Tigray,South Eastern,Hintalo,ET010603
Tigray,South Eastern,Degua Temben,ET010604
Tigray,South Eastern,Hagere Selam town,ET010605
Tigray,South Eastern,Samre,ET010606
Tigray,South Eastern,Adigudom,ET010607
Tigray,South Eastern,Wajirat,ET010608
Tigray,Mekelle,Mekelle,ET010701
Afar,Awsi /Zone 1,Dubti,ET020101
Afar,Awsi /Zone 1,Elidar,ET020102
Afar,Awsi /Zone 1,Asayita,ET020103
Afar,Awsi /Zone 1,Afambo,ET020104
Afar,Awsi /Zone 1,Mile,ET020105
Afar,Awsi /Zone 1,Chifra,ET020106
Afar,Awsi /Zone 1,Dubti town,ET020107
Afar,Awsi /Zone 1,Kori,ET020108
Afar,Awsi /Zone 1,Adar,ET020109
Afar,Awsi /Zone 1,Gerani,ET020110
Afar,Awsi /Zone 1,Asayita town,ET020111
Afar,Awsi /Zone 1,Samera Logiya town,ET020198
Afar,Kilbati /Zone2,Erebti,ET020201
Afar,Kilbati /Zone2,Kunneba,ET020202
Afar,Kilbati /Zone2,Abaala,ET020203
Afar,Kilbati /Zone2,Megale,ET020204
Afar,Kilbati /Zone2,Berahile,ET020205
Afar,Kilbati /Zone2,Dalol,ET020206
Afar,Kilbati /Zone2,Afdera,ET020207
Afar,Kilbati /Zone2,Bidu,ET020208
Afar,Kilbati /Zone2,Abaala town,ET020209
Afar,Gabi /Zone 3,Amibara,ET020301
Afar,Gabi /Zone 3,Awash,ET020302
Afar,Gabi /Zone 3,Gewane,ET020303
Afar,Gabi /Zone 3,Dulecha,ET020304
Afar,Gabi /Zone 3,Gelalu,ET020305
Afar,Gabi /Zone 3,Arguba,ET020306
Afar,Gabi /Zone 3,Hanruka,ET020307
Afar,Gabi /Zone 3,Awash town,ET020396
Afar,Fanti /Zone 4,Awra (AF),ET020401
Afar,Fanti /Zone 4,Euwa,ET020402
Afar,Fanti /Zone 4,Teru,ET020403
Afar,Fanti /Zone 4,Yalo,ET020404
Afar,Fanti /Zone 4,Gulina,ET020405
Afar,Hari /Zone 5,Telalek,ET020501
Afar,Hari /Zone 5,Samurobi,ET020502
Afar,Hari /Zone 5,Dawe,ET020503
Afar,Hari /Zone 5,Dalefage,ET020504
Afar,Hari /Zone 5,Hadelela,ET020505
Amhara,North Gondar,Addi Arekay,ET030101
Amhara,North Gondar,Beyeda,ET030102
Amhara,North Gondar,Janamora,ET030103
Amhara,North Gondar,Debark,ET030104
Amhara,North Gondar,Dabat,ET030105
Amhara,North Gondar,Dabat town,ET030106
Amhara,North Gondar,Telemt,ET030119
Amhara,North Gondar,Debark town,ET030198
Amhara,South Gondar,Ebenat,ET030201
Amhara,South Gondar,Libokemekem,ET030202
Amhara,South Gondar,Fogera,ET030203
Amhara,South Gondar,Farta,ET030204
Amhara,South Gondar,Lay Gayint,ET030205
Amhara,South Gondar,Tach Gayint,ET030206
Amhara,South Gondar,Semada,ET030207
Amhara,South Gondar,East Esite,ET030208
Amhara,South Gondar,Dera (AM),ET030209
Amhara,South Gondar,Debre Tabor town,ET030210
Amhara,South Gondar,Andabet/ West Esite,ET030211
Amhara,South Gondar,Guna Begemider,ET030212
Amhara,South Gondar,Mena Meketewa,ET030213
Amhara,South Gondar,Sede Muja,ET030214
Amhara,South Gondar,Nefas Mewicha town,ET030215
Amhara,South Gondar,Wegeda town,ET030216
Amhara,South Gondar,Ebenat town,ET030217
Amhara,South Gondar,Hamusit town,ET030218
Amhara,South Gondar,Woreta town,ET030293
Amhara,South Gondar,Mekan Eyesuse,ET030298
Amhara,South Gondar,Adiss Zemen town,ET030299
Amhara,North Wello,Bugna,ET030301
Amhara,North Wello,Raya Kobo,ET030302
Amhara,North Wello,Gidan,ET030303
Amhara,North Wello,Meket,ET030304
Amhara,North Wello,Wadla,ET030305
Amhara,North Wello,Hara town,ET030306
Amhara,North Wello,Guba Lafto,ET030307
Amhara,North Wello,Habru,ET030308
Amhara,North Wello,Woldiya town,ET030309
Amhara,North Wello,Lasta,ET030310
Amhara,North Wello,Dawunt,ET030311
Amhara,North Wello,Gazo,ET030312
Amhara,North Wello,Angot,ET030313
Amhara,North Wello,Filakit town,ET030314
Amhara,North Wello,Gashena town,ET030315
Amhara,North Wello,Mersa town,ET030397
Amhara,North Wello,Lalibela town,ET030398
Amhara,North Wello,Kobo town,ET030399
Amhara,South Wello,Argoba,ET030401
Amhara,South Wello,Tenta,ET030402
Amhara,South Wello,Kutaber,ET030403
Amhara,South Wello,Ambasel,ET030404
Amhara,South Wello,Thehulederie,ET030405
