region,zone,woreda,adm3_pcode,adm3_en,adm1_en,adm2_en,score,method,needs_review
Afar,Awsi Rasu,Kori,ET020108,Kori,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Mille,ET020105,Mile,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Awsi Rasu,Samera-Logia Town,ET020198,Samera Logiya town,Afar,Awsi /Zone 1,1,key,FALSE
Afar,Fanti /Zone 4,Awura,ET010507,Awra (TG),Tigray,Western,1,key,FALSE
Afar,Fanti /Zone 4,Ewa,ET020402,Euwa,Afar,Fanti /Zone 4,1,key,FALSE
Afar,Fanti /Zone 4,Golina,ET020405,Gulina,Afar,Fanti /Zone 4,1,key,FALSE
Afar,Fanti /Zone 4,Teru,ET020403,Teru,Afar,Fanti /Zone 4,1,key,FALSE
Afar,Fanti /Zone 4,Yallo,ET020404,Yalo,Afar,Fanti /Zone 4,1,key,FALSE
Afar,Fanti Rasu,Awura,ET010507,Awra (TG),Tigray,Western,1,key,FALSE
Afar,Fanti Rasu,Ewa,ET020402,Euwa,Afar,Fanti /Zone 4,1,key,FALSE
Afar,Fanti Rasu,Golina,ET020405,Gulina,Afar,Fanti /Zone 4,1,key,FALSE
Afar,Fanti Rasu,Teru,ET020403,Teru,Afar,Fanti /Zone 4,1,key,FALSE
Afar,Fanti Rasu,Yallo,ET020404,Yalo,Afar,Fanti /Zone 4,1,key,FALSE
Afar,Gabi /Zone 3,Amibara,ET020301,Amibara,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi /Zone 3,Argoba,ET020306,Arguba,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi /Zone 3,Awash Fentale,ET020302,Awash,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi /Zone 3,Awash Town,ET020396,Awash town,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi /Zone 3,Buremodaytu,ET020305,Gelalu,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi /Zone 3,Dulecha,ET020304,Dulecha,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi /Zone 3,Gela'alo,ET020305,Gelalu,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi /Zone 3,Gewane,ET020303,Gewane,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi /Zone 3,Hanruka,ET020307,Hanruka,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi Rasu,Amibara,ET020301,Amibara,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi Rasu,Argoba,ET020306,Arguba,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi Rasu,Awash Fentale,ET020302,Awash,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi Rasu,Awash Town,ET020396,Awash town,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi Rasu,Buremodaytu,ET020305,Gelalu,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi Rasu,Dulecha,ET020304,Dulecha,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi Rasu,Gela'alo,ET020305,Gelalu,Afar,Gabi /Zone 3,1,key,FALSE
Afar,Gabi Rasu,Gewane,ET020303,Gewane,Afar,Gabi /Zone 3,1,key,FALSE
