region,period,indicator,group,label,value_type,n_woreda,n_reported,n_pairs,num_sum,denom_sum,pct_reported,value_pct,value_pct_capped
Addis Ababa,2025-Wk16-27,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,120,120,73,847,847,100,100,100
Addis Ababa,2025-Wk28-52,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,119,119,72,814,814,100,100,100
Afar,2025-Wk03-15,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,40,40,0,0,0,100,NA,NA
Afar,2025-Wk16-27,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,40,40,3,35,38,100,92.10526315789474,92.10526315789474
Afar,2025-Wk28-52,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,40,40,6,28,37,100,75.67567567567568,75.67567567567568
Amhara,2025-Wk03-15,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,221,221,51,267,1262,100,21.15689381933439,21.15689381933439
Amhara,2025-Wk16-27,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,221,0,0,0,0,0,NA,NA
Amhara,2025-Wk28-52,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,221,0,0,0,0,0,NA,NA
Benishangul Gumuz,2025-Wk03-15,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,23,23,15,1021,1512,100,67.52645502645503,67.52645502645503
Benishangul Gumuz,2025-Wk16-27,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,23,23,13,11,638,100,1.7241379310344827,1.7241379310344827
Benishangul Gumuz,2025-Wk28-52,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,23,23,10,19,35,100,54.285714285714285,54.285714285714285
Central Ethiopia,2025-Wk03-15,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,82,82,15,396,402,100,98.50746268656717,98.50746268656717
Dire Dawa,2025-Wk03-15,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,18,18,11,567,601,100,94.34276206322795,94.34276206322795
