adm3_pcode,adm3_en,ref_region,population_best
ET041016,Girawa,Oromia,365359.22938685084
ET041017,Golo Oda,Oromia,125447.33349598522
ET041018,Meyu Muleke,Oromia,70804.11221270022
ET041097,Deder town,Oromia,22858.079426047396
ET041098,Kumbi,Oromia,34236.31865375143
ET041104,Agarfa,Oromia,157908.22856765412
ET041106,Gasera,Oromia,119703.05515555984
ET041109,Sinana,Oromia,179689.3377049246
ET041110,Goba (OR),Oromia,61753.06995458769
ET041111,Harena Buluk,Oromia,124692.19755590192
ET041112,Mena (Bale),Oromia,138503.51265944264
ET041113,Meda Welabu,Oromia,148516.2947859353
ET041114,Berbere,Oromia,138735.59066606092
ET041115,Gura Damole,Oromia,44194.2832603077
ET041116,Goro (Bale),Oromia,128030.80910612711
ET041119,Robe Town,Oromia,78234.8863600907
ET041122,Dinsho,Oromia,60013.01964690139
ET041207,Yabelo,Oromia,65849.59350245447
ET041208,Arero,Oromia,53742.502422151505
ET041210,Moyale (OR),Oromia,43202.35906324968
ET041211,Dire,Oromia,57084.47860032517
ET041212,Teltale,Oromia,84664.01790850486
ET041216,Miyo,Oromia,61488.21471229935
ET041219,Dilo,Oromia,18332.476480585265
ET041220,Dhas,Oromia,29343.151368504972
ET041223,Gomole,Oromia,34593.822520201626
ET041290,Guchi,Oromia,25080.841845362986
ET041291,Dubluk,Oromia,34439.97377613415
ET041295,Elwaya,Oromia,34366.54596646559
ET041296,Yabelo town,Oromia,30842.82982544656
ET041298,Wachile,Oromia,32731.32030035451
ET041301,Ameya,Oromia,186483.12598627125
ET041302,Wenchi,Oromia,142326.67240113622
ET041303,Waliso,Oromia,66768.94945246642
ET041304,Dawo,Oromia,111110.25576721082
ET041305,Ilu,Oromia,95770.20729345146
ET041307,Kersana Malima,Oromia,124368.66862649555
ET041308,Tole,Oromia,96012.5470830256
ET041309,Becho (SW Shewa),Oromia,115729.97828293087
ET041310,Seden Sodo,Oromia,117752.95486571082
ET041311,Woliso town,Oromia,66768.94945246642
ET041314,Sodo Daci,Oromia,66747.8517980602
ET041401,Uraga,Oromia,174616.77556026808
ET041402,Bore,Oromia,177839.13055538724
ET041403,Adola,Oromia,166718.63694793664
ET041404,Wadera,Oromia,77772.86931465713
ET041405,Odo Shakiso,Oromia,144536.4713476162
ET041407,Liben,Oromia,116409.04473904248
ET041408,Dama,Oromia,86562.95750081178
ET041409,Arda Jila,Oromia,38738
ET041410,Girja /Harenfema,Oromia,76271.31391699788
ET041411,Ana Sora,Oromia,138122.7763905205
ET041412,Saba Boru,Oromia,77632.76692356498
ET041413,Gora Dola,Oromia,91138.20963128624
ET041414,Negele town,Oromia,62161.61280494795
ET041482,Aga Wayu,Oromia,47058.36114843548
ET041490,Haro Walabu,Oromia,94299.60404402176
ET041492,Adola town,Oromia,40433.97786275085
ET041497,Gumi Idalo,Oromia,18224.00568099226
ET041499,Shakiso town,Oromia,53051.74893225476
ET041501,Bule Hora,Oromia,299184.9129835999
ET041502,Kercha,Oromia,274889.44719398126
ET041509,Hambela Wamena,Oromia,159465.39712818962
ET041513,Abaya,Oromia,157719.999400996
ET041515,Dugda Dawa,Oromia,103627.64263261415
ET041517,Gelana (West Guji),Oromia,109001.79923748423
ET041518,Melka Soda,Oromia,88169.32232081474
ET041587,Bule Hora town,Oromia,49040.11481785323
ET041594,Suro Berguda,Oromia,46418.03091841751
ET041596,Birbirsa Kojowa,Oromia,72046.8525062045
ET041603,Chora (Buno Bedele),Oromia,154192.4953158103
ET041604,Dega,Oromia,60545.39095491079
ET041605,Dabo Hana,Oromia,63585.449885139846
ET041606,Gechi,Oromia,108132.59820544915
ET041607,Borecha,Oromia,112354.0905299173
ET041608,Dedesa,Oromia,130079.37584228064
ET041618,Meko,Oromia,33334.957048654665
ET041621,Bedele town,Oromia,34403.58402601821
ET041622,Bedele Zuria,Oromia,117707.95910362415
ET041623,Chwaka,Oromia,85268.84538983909
ET041700,Dodola town,Oromia,36718.59078905559
ET041701,Siraro,Oromia,221961.75839429666
ET041702,Shala,Oromia,228877.04130118023
