period,region,indicator,label,value_pct,pct_reported
2025-Wk03-15,Benishangul Gumuz,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),100,100
2025-Wk03-15,Benishangul Gumuz,EBS_DETECT,Outbreaks detected through event-based surveillance,100,100
2025-Wk03-15,Benishangul Gumuz,DETECT_7D,Outbreaks detected within 7 days,77.77777777777777,100
2025-Wk03-15,Benishangul Gumuz,RPT_TIMELY,Surveillance reports submitted on time (timeliness),100,100
2025-Wk03-15,Benishangul Gumuz,RPT_COMPLETE,Surveillance reports submitted completely (completeness),100,100
2025-Wk03-15,Benishangul Gumuz,CB_ELIM,Case-based reporting: elimination/eradication diseases,67.52645502645503,100
2025-Wk03-15,Benishangul Gumuz,CB_EVENTS,Case-based reporting: selected events/conditions,20,100
2025-Wk03-15,Benishangul Gumuz,NOTIFY_24H,Suspected outbreaks notified within 24 hours,88.88888888888889,100
2025-Wk03-15,Benishangul Gumuz,NOTIFY_30M,Immediately reportable events notified within 30 minutes,88.88888888888889,100
2025-Wk03-15,Benishangul Gumuz,LINEGRAPH,Current line graph available for priority diseases,0,100
2025-Wk03-15,Benishangul Gumuz,OBR_ANALYZED,Outbreak reports with analyzed case-based data,39.130434782608695,100
2025-Wk03-15,Benishangul Gumuz,LAB_7D,Outbreaks with laboratory results within 7 days,77.77777777777777,100
2025-Wk03-15,Benishangul Gumuz,RESP_2448,Confirmed outbreaks with response within 24-48 hours,100,100
2025-Wk03-15,Benishangul Gumuz,EPI_DETECT_REG,Epidemics detected at regional level from district data,0,100
2025-Wk03-15,Benishangul Gumuz,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,69.56521739130434,100
2025-Wk03-15,Benishangul Gumuz,RISK_MAP,Districts conducting risk & resource mapping,69.56521739130434,100
2025-Wk03-15,Benishangul Gumuz,EPR_FUNDS,Districts with EPR funds / budget line,0,100
2025-Wk03-15,Benishangul Gumuz,CONTINGENCY,Districts with contingency stocks (3-6 months),0,100
2025-Wk03-15,Benishangul Gumuz,PHEM_OFFICER,Health facilities with PHEM officer,0,100
2025-Wk03-15,Benishangul Gumuz,DHIS2_RPT,Districts reporting weekly via DHIS2,73.91304347826087,100
2025-Wk03-15,Benishangul Gumuz,COORD_PLATFORM,Districts with functional coordination platform / RRT,78.26086956521739,100
2025-Wk16-27,Benishangul Gumuz,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),100,100
2025-Wk16-27,Benishangul Gumuz,EBS_DETECT,Outbreaks detected through event-based surveillance,100,100
2025-Wk16-27,Benishangul Gumuz,DETECT_7D,Outbreaks detected within 7 days,100,100
2025-Wk16-27,Benishangul Gumuz,RPT_TIMELY,Surveillance reports submitted on time (timeliness),90.3010033444816,100
2025-Wk16-27,Benishangul Gumuz,RPT_COMPLETE,Surveillance reports submitted completely (completeness),93.31103678929766,100
2025-Wk16-27,Benishangul Gumuz,CB_ELIM,Case-based reporting: elimination/eradication diseases,1.7241379310344829,100
2025-Wk16-27,Benishangul Gumuz,CB_EVENTS,Case-based reporting: selected events/conditions,69.23076923076923,100
2025-Wk16-27,Benishangul Gumuz,NOTIFY_24H,Suspected outbreaks notified within 24 hours,100,100
2025-Wk16-27,Benishangul Gumuz,NOTIFY_30M,Immediately reportable events notified within 30 minutes,100,100
2025-Wk16-27,Benishangul Gumuz,LINEGRAPH,Current line graph available for priority diseases,0,100
2025-Wk16-27,Benishangul Gumuz,OBR_ANALYZED,Outbreak reports with analyzed case-based data,4.3478260869565215,100
2025-Wk16-27,Benishangul Gumuz,LAB_7D,Outbreaks with laboratory results within 7 days,92.3076923076923,100
